h,p,q,coeficientes,SSE,AIC
1,8,2,0.013778 1.010807 -0.067427 -0.178831 -0.156399 0.094645 0.044041 0.013983 -0.025438 -0.245556 0.738990,4.606727069846074,794.9239267044162
2,8,2,0.027283 0.985659 -0.286979 -0.356842 -0.025726 0.168194 0.023579 -0.046411 0.015937 0.458747 0.759166,7.552884294084286,1043.0744055871812
3,8,2,0.039115 0.765671 -0.438279 -0.293094 0.060014 0.209346 -0.055176 -0.067524 0.069255 0.462155 0.670239,16.748706594025347,1442.4338026593139
4,8,2,0.048947 0.324314 -0.216036 -0.173123 0.023444 0.083351 0.007221 0.025468 -0.004246 0.497269 0.405684,23.417714126958263,1608.2068532226765
5,8,2,0.053251 0.096776 -0.136797 -0.062766 -0.001121 0.054691 0.063903 -0.015241 -0.008889 0.341860 0.179468,26.268585462562523,1662.7236255786809
6,8,2,0.055095 -0.112544 0.072186 -0.016768 -0.071298 0.041792 0.081509 0.042286 -0.084053 0.230470 -0.023197,27.033741509241523,1673.8399714337124
7,8,2,0.054231 -0.098744 0.079239 -0.028721 -0.017680 0.029529 0.105190 -0.031332 -0.068923 0.062042 -0.126612,27.076479449370634,1671.3327170151172
8,8,2,0.052697 -0.038585 -0.021145 0.028101 0.036184 0.066941 -0.022090 -0.036532 -0.025012 -0.084537 -0.047908,27.022234594661725,1667.0333552780562
9,8,2,0.051481 -0.053959 0.031968 0.029147 0.077414 -0.015088 -0.041380 -0.031654 0.007999 -0.044367 -0.037511,27.043158284985676,1664.1221543275103
10,8,2,0.049442 0.002129 0.018320 0.052492 0.018117 -0.012522 -0.056655 -0.023528 0.035974 -0.048732 -0.052261,26.993865325324375,1659.917986117463
11,8,2,0.047649 0.042527 0.072117 -0.044120 -0.005056 -0.004318 -0.035271 -0.007072 0.037506 -0.074232 -0.053924,26.870663479315287,1654.353416801364
12,8,2,0.046962 0.064202 0.128261 -0.082218 -0.124181 -0.008909 0.084938 0.049205 -0.054607 -0.012716 -0.137287,26.747942170088464,1648.7964833701387
